Genus,CK_1,CK_2,CK_3,C2_1,C2_2,C2_3,C4_1,C4_2,C4_3,C8_1,C8_2,C8_3
Mesorhabditis,21,36,7,160,35,134,194,120,88,123,84,128
Rhabditis,41,93,169,124,69,103,243,211,240,219,252,173
Pelodera,0,0,0,10,16,0,0,0,0,0,0,0
Protorhabditis,0,0,0,0,0,0,14,29,11,14,11,0
Ablechroiulus,11,5,0,14,0,6,0,0,0,0,0,0
Caenorhabditis,0,0,0,56,54,44,52,69,21,56,50,14
Diploscapter,34,13,2,0,0,0,0,0,0,0,0,0
Eucephalobus,71,152,180,271,125,342,319,263,251,153,117,129
Eumonhystera,15,16,16,20,23,23,86,60,64,25,35,31
Cephalobus,0,0,0,24,65,40,32,7,5,0,0,0
Chiloplacus,60,30,52,94,102,85,105,62,45,34,49,34
Plectus,58,39,81,53,104,65,91,92,96,106,84,152
Acrobeloides,132,154,129,144,109,105,164,162,126,136,86,158
Acrobeles,0,20,10,110,95,47,29,26,23,42,9,46
Anaplectus,0,0,0,36,5,10,0,0,0,19,6,2
Wilsonema,0,0,0,0,0,0,0,0,0,17,2,4
Prismatolaimus,80,165,177,39,77,62,123,48,79,220,179,235
Chromadorina,0,0,0,14,0,7,0,0,0,0,0,0
Prochromadora,12,1,3,0,0,0,0,0,0,40,9,25
Aphelenchus,77,76,130,166,101,93,156,162,99,107,131,112
Ditylenchus,61,57,108,98,133,170,120,269,124,90,64,112
Aphelenchoides,233,232,165,276,387,342,328,516,406,472,360,499
Filenchus,71,47,55,76,126,141,142,237,192,118,202,135
Dorylaimoides,0,5,11,49,14,25,15,7,0,0,0,0
Tylencholaimus,3,12,2,7,16,23,0,0,0,0,0,0
Tylenchus,0,0,0,32,59,22,54,38,16,125,59,104
Malenchus,45,25,41,24,10,11,80,37,65,35,37,22
Psilenchus,26,55,33,7,32,32,2,11,31,15,54,22
Tylenchorhynchus,41,35,34,35,80,52,31,8,4,26,44,27
Pratylenchus,16,33,14,78,43,91,82,54,52,106,63,120
Helicotylenchus,26,7,15,32,65,50,0,0,0,0,0,0
Rotylenchus,0,0,0,5,30,7,0,0,0,1,14,32
Longidorella,0,0,0,0,0,0,0,0,0,3,4,17
Longidorus,40,29,11,9,5,36,0,0,0,32,47,65
Granonchulus,0,0,0,0,0,0,21,10,0,0,0,0
Mylonchulus,12,2,3,9,32,20,0,0,0,8,39,37
Anatonchus,0,0,0,38,36,7,16,8,0,0,0,0
Clarkus,0,0,0,1,18,6,0,0,0,40,18,15
Eudorylaimus,63,27,57,84,37,64,52,57,83,112,102,129
Thonus,75,52,79,14,6,0,125,131,10,50,105,42
Aporcelaimus,22,16,24,21,8,12,9,17,28,21,62,21
Discolaimium,0,0,0,18,3,5,0,0,0,0,0,0
Mesodorylaimus,36,7,7,36,19,37,53,46,57,33,8,35
Sectonema,1,11,3,0,0,0,0,0,0,19,5,3
Prodorylaimus,85,31,130,0,0,0,26,13,41,6,21,20
Oxydirus,49,4,53,9,12,24,23,36,50,40,23,31